min_points,max_mean_err_vobs_kms,quality_passed,n_a,n_b,n_c,c_minus_nonc_diff,c_minus_nonc_sign_positive,trend_spearman
6,4.0,51,11,18,22,0.07408891524712038,True,0.2646009711864679
6,6.0,87,18,36,33,0.06221176244756099,True,0.24629445964714525
6,8.0,115,18,62,35,0.04885197875038241,True,0.20680559436891435
8,4.0,44,10,14,20,0.07472996067545426,True,0.35875301634107903
8,6.0,73,17,28,28,0.06997933283692762,True,0.3619564767667155
8,8.0,98,17,51,30,0.06465478691996601,True,0.2978541127697245
10,4.0,32,8,10,14,0.07090760305202226,True,0.406532198502269
10,6.0,58,15,23,20,0.060719465001812994,True,0.3526487916069445
10,8.0,81,15,44,22,0.04688005037980722,True,0.2723306689468056
12,4.0,27,7,8,12,0.0804317067235401,True,0.4909043522849907
12,6.0,50,13,21,16,0.06573884567331464,True,0.4407337788568218
12,8.0,72,13,41,18,0.0514240860577834,True,0.33624778707642683
